spp_site,PC1,PC2,PC3,PC4,PC5,PC6
KNAUTIA ARVENSIS_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
ACHILLEA MILLEFOLIUM_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
CENTAUREA JACEA_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
TRIFOLIUM DUBIUM_bayrdrt.de,0.098331977,0.007141386,-0.257647137,0.21431403,-0.033802464,0.207444819
LOTUS CORNICULATUS_bayrdrt.de,0.098331977,0.007141386,-0.257647137,0.21431403,-0.033802464,0.207444819
TRIFOLIUM PRATENSE_bayrdrt.de,0.098331977,0.007141386,-0.257647137,0.21431403,-0.033802464,0.207444819
LUZULA CAMPESTRIS_bayrdrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
PLANTAGO LANCEOLATA_bayrdrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
ALOPECURUS PRATENSIS_bayrdrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
ANTHOXANTHUM ODORATUM_bayrdrt.de,-0.120575716,-0.001819381,-0.04108789,-0.088017364,0.372211383,0.027062969
ARRHENATHERUM ELATIUS_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
DACTYLIS GLOMERATA_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
FESTUCA RUBRA_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
HOLCUS LANATUS_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
POA PRATENSIS_bayrdrt.de,0.040971074,0.074506036,-0.27230153,-0.182330286,0.047974018,-0.389919374
