"","site_code","Taxon","relative_sp_cover.yr.live","dominance"
"1","allmendb.ch","BROMUS ERECTUS",0.186708860759494,"D"
"2","allmendb.ch","CAREX CARYOPHYLLEA",0.114978902953586,"CD"
"3","allmendb.ch","PRUNELLA VULGARIS",0.0959915611814346,"CD"
"4","allmendb.ch","BRACHYPODIUM PINNATUM",0.0917721518987342,"CD"
"5","allmendb.ch","HIPPOCREPIS COMOSA",0.0562587904360056,"CD"
"6","allmendb.ch","RHINANTHUS MINOR",0.04957805907173,"SD"
"7","allmendb.ch","CENTAUREA SCABIOSA",0.0488748241912799,"SD"
"8","allmendb.ch","SANGUISORBA MINOR",0.0446554149085795,"SD"
"9","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",0.0421940928270042,"SD"
"10","allmendb.ch","LINUM CATHARTICUM",0.0330520393811533,"SD"
"11","allmendb.ch","BRIZA MEDIA",0.0316455696202532,"SD"
"12","allmendb.ch","PIMPINELLA SAXIFRAGA",0.0274261603375527,"SD"
"13","allmendb.ch","HELICTOTRICHON PRATENSE",0.0228551336146273,"SD"
"14","allmendb.ch","TEUCRIUM CHAMAEDRYS",0.0214486638537271,"SD"
"15","allmendb.ch","THYMUS SERPYLLUM",0.0193389592123769,"SD"
"16","allmendb.ch","CENTAUREA JACEA",0.0123066104078762,"SD"
"17","allmendb.ch","CAREX FLACCA",0.0119549929676512,"SD"
"18","allmendb.ch","ACHILLEA MILLEFOLIUM",0.0109001406469761,"SD"
"19","allmendb.ch","EUPHORBIA CYPARISSIAS",0.00914205344585091,"SD"
"20","allmendb.ch","SALVIA PRATENSIS",0.00879043600562588,"SD"
"21","allmendb.ch","LOTUS CORNICULATUS",0.00808720112517581,"SD"
"22","allmendb.ch","SCABIOSA COLUMBARIA",0.00773558368495077,"SD"
"23","allmendb.ch","GLOBULARIA VULGARIS",0.0070323488045007,"SD"
"24","allmendb.ch","FESTUCA OVINA",0.00668073136427567,"SD"
"25","allmendb.ch","GALIUM VERUM",0.00527426160337553,"SD"
"26","allmendb.ch","LEUCANTHEMUM VULGARE",0.00492264416315049,"SD"
"27","allmendb.ch","TRIFOLIUM PRATENSE",0.00492264416315049,"SD"
"28","allmendb.ch","POTENTILLA GRANDIFLORA",0.00316455696202532,"SD"
"29","allmendb.ch","ECHIUM VULGARE",0.00246132208157525,"SD"
"30","allmendb.ch","KNAUTIA ARVENSIS",0.00210970464135021,"SD"
"31","allmendb.ch","PLANTAGO LANCEOLATA",0.00210970464135021,"SD"
"32","allmendb.ch","CARLINA VULGARIS",0.00105485232067511,"SD"
"33","allmendb.ch","CREPIS BIENNIS",0.00105485232067511,"SD"
"34","allmendb.ch","ANTHYLLIS VULNERARIA",0.00105485232067511,"SD"
"35","allmendb.ch","TRIFOLIUM MONTANUM",0.00070323488045007,"SD"
"36","allmendb.ch","ASPERULA CYNANCHICA",0.00070323488045007,"SD"
"37","allmendb.ch","PARNASSIA PALUSTRIS",0.000351617440225035,"SD"
"38","allmendb.ch","RANUNCULUS sp.",0.000351617440225035,"SD"
"39","allmendb.ch","AGRIMONIA EUPATORIA",0.000351617440225035,"SD"
"40","allmendo.ch","BROMUS ERECTUS",0.188635305076851,"D"
"41","allmendo.ch","CAREX CARYOPHYLLEA",0.167210060549604,"CD"
"42","allmendo.ch","FESTUCA OVINA",0.08011178388449,"CD"
"43","allmendo.ch","BRACHYPODIUM PINNATUM",0.0675360968793666,"CD"
"44","allmendo.ch","PRUNELLA VULGARIS",0.0670703306939916,"SD"
"45","allmendo.ch","HIPPOCREPIS COMOSA",0.0605496040987424,"SD"
"46","allmendo.ch","LINUM CATHARTICUM",0.0535631113181183,"SD"
"47","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",0.0437820214252445,"SD"
"48","allmendo.ch","RHINANTHUS MINOR",0.032137866790871,"SD"
"49","allmendo.ch","HELICTOTRICHON PRATENSE",0.0312063344201211,"SD"
"50","allmendo.ch","BRIZA MEDIA",0.024219841639497,"SD"
"51","allmendo.ch","PIMPINELLA SAXIFRAGA",0.0232883092687471,"SD"
"52","allmendo.ch","CENTAUREA SCABIOSA",0.0200279459711225,"SD"
"53","allmendo.ch","TEUCRIUM CHAMAEDRYS",0.016301816488123,"SD"
"54","allmendo.ch","ANTHYLLIS VULNERARIA",0.015836050302748,"SD"
"55","allmendo.ch","GALIUM VERUM",0.0130414531904984,"SD"
"56","allmendo.ch","CAREX FLACCA",0.0125756870051234,"SD"
"57","allmendo.ch","SALVIA PRATENSIS",0.00978108989287378,"SD"
"58","allmendo.ch","POTENTILLA GRANDIFLORA",0.00884955752212389,"SD"
"59","allmendo.ch","THYMUS SERPYLLUM",0.00791802515137401,"SD"
"60","allmendo.ch","TEUCRIUM MONTANUM",0.00745225896599907,"SD"
"61","allmendo.ch","CENTAUREA JACEA",0.00698649278062413,"SD"
"62","allmendo.ch","ASPERULA CYNANCHICA",0.00652072659524919,"SD"
"63","allmendo.ch","TRIFOLIUM MONTANUM",0.00652072659524919,"SD"
"64","allmendo.ch","ACHILLEA MILLEFOLIUM",0.00652072659524919,"SD"
"65","allmendo.ch","SCABIOSA COLUMBARIA",0.00605496040987424,"SD"
"66","allmendo.ch","EUPHORBIA CYPARISSIAS",0.00465766185374942,"SD"
"67","allmendo.ch","GLOBULARIA VULGARIS",0.00279459711224965,"SD"
"68","allmendo.ch","PLANTAGO LANCEOLATA",0.00279459711224965,"SD"
"69","allmendo.ch","LOTUS CORNICULATUS",0.00186306474149977,"SD"
"70","allmendo.ch","LEONTODON HISPIDUS",0.00186306474149977,"SD"
"71","allmendo.ch","POLYGALA VULGARIS",0.000931532370749884,"SD"
"72","allmendo.ch","SANGUISORBA MINOR",0.000931532370749884,"SD"
"73","allmendo.ch","FORB sp.",0.000465766185374942,"SD"
"74","baddrt.de","CREPIS BIENNIS",0.391133524892981,"D"
"75","baddrt.de","PICRIS HIERACIOIDES",0.2656424089603,"CD"
"76","baddrt.de","CIRSIUM ARVENSE",0.0985163900779922,"SD"
"77","baddrt.de","TARAXACUM TARAXACUM",0.0545358587931742,"SD"
"78","baddrt.de","EPILOBIUM TETRAGONUM",0.0539494517093767,"SD"
"79","baddrt.de","VULPIA MYUROS",0.0492581950389961,"SD"
"80","baddrt.de","CREPIS CAPILLARIS",0.0345980179440568,"SD"
"81","baddrt.de","SONCHUS ASPER",0.0131941593854454,"SD"
"82","baddrt.de","APERA SPICA-VENTI",0.00826833988154577,"SD"
"83","baddrt.de","SOLIDAGO CANADENSIS",0.00498446021227937,"SD"
"84","baddrt.de","VICIA SEPIUM",0.00469125667038058,"SD"
"85","baddrt.de","RUMEX CRISPUS",0.00410484958658301,"SD"
"86","baddrt.de","CARDUUS CRISPUS",0.00351844250278543,"SD"
"87","baddrt.de","EPILOBIUM ANGUSTIFOLIUM",0.00293203541898786,"SD"
"88","baddrt.de","TRIPLEUROSPERMUM INODORUM",0.00152465841787369,"SD"
"89","baddrt.de","GALIUM APARINE",0.00134873629273442,"SD"
"90","baddrt.de","TRAGOPOGON PRATENSIS",0.00117281416759514,"SD"
"91","baddrt.de","BROMUS STERILIS",0.00117281416759514,"SD"
"92","baddrt.de","POA TRIVIALIS",0.00117281416759514,"SD"
"93","baddrt.de","BROMUS HORDEACEUS",0.00064504779217733,"SD"
"94","baddrt.de","ACER PSEUDOPLATANUS",0.000586407083797572,"SD"
"95","baddrt.de","UNKNOWN GRASS SP.",0.000586407083797572,"SD"
"96","baddrt.de","ERIGERON CANADENSIS",0.000586407083797572,"SD"
"97","baddrt.de","FALLOPIA CONVOLVULUS",0.000351844250278543,"SD"
"98","baddrt.de","ATRIPLEX PROSTRATA",0.000293203541898786,"SD"
"99","baddrt.de","PAPAVER RHOEAS",0.000293203541898786,"SD"
"100","baddrt.de","GEUM URBANUM",0.000293203541898786,"SD"
"101","baddrt.de","PRUNUS AVIUM",0.000293203541898786,"SD"
"102","baddrt.de","HYPERICUM PERFORATUM",0.000293203541898786,"SD"
"103","baddrt.de","VERONICA PERSICA",5.86407083797572e-05,"SD"
"104","bange.cn","CAREX TRISTACHYA",0.241679873217116,"D"
"105","bange.cn","ASTRAGALUS KIALENSIS",0.173137876386688,"CD"
"106","bange.cn","FESTUCA OVINA",0.135103011093502,"CD"
"107","bange.cn","ANTENNARIA ROSEA",0.132725832012678,"SD"
"108","bange.cn","STIPA PURPUREA",0.113708399366086,"SD"
"109","bange.cn","ARENARIA BREVIPETALA",0.0590332805071315,"SD"
"110","bange.cn","GENTIANA SCABRA",0.0380348652931854,"SD"
"111","bange.cn","ARTEMISIA WELLBYI",0.0364500792393027,"SD"
"112","bange.cn","OXYTROPIS STRACHEYANA",0.0293185419968304,"SD"
"113","bange.cn","ANDROSACE GRAMINIFOLIA",0.00990491283676704,"SD"
"114","bange.cn","PEDICULARIS REAUPINANTA",0.00871632329635499,"SD"
"115","bange.cn","POTENTILLA MULTIFIDA",0.00792393026941363,"SD"
"116","bange.cn","VIOLA PHILIPPICA",0.00594294770206022,"SD"
"117","bange.cn","PSEUDOYOUNGIA SIMULATRIX",0.00554675118858954,"SD"
"118","bange.cn","ARTEMISIA DEMISSA",0.00198098256735341,"SD"
"119","bange.cn","SWERTIA BIMACULATA",0.000792393026941363,"SD"
"120","bayrdrt.de","ALOPECURUS PRATENSIS",0.422558922558923,"D"
"121","bayrdrt.de","FESTUCA RUBRA",0.0698653198653199,"CD"
"122","bayrdrt.de","ARRHENATHERUM ELATIUS",0.0673400673400673,"CD"
"123","bayrdrt.de","CENTAUREA JACEA",0.0656565656565657,"SD"
"124","bayrdrt.de","GALIUM ALBUM",0.0614478114478114,"SD"
"125","bayrdrt.de","PLANTAGO LANCEOLATA",0.0606060606060606,"SD"
"126","bayrdrt.de","TRIFOLIUM PRATENSE",0.0597643097643098,"SD"
"127","bayrdrt.de","ANTHOXANTHUM ODORATUM",0.0252525252525253,"SD"
"128","bayrdrt.de","HOLCUS LANATUS",0.0244107744107744,"SD"
"129","bayrdrt.de","TARAXACUM TARAXACUM",0.0176767676767677,"SD"
"130","bayrdrt.de","AGROSTIS CAPILLARIS",0.0168350168350168,"SD"
"131","bayrdrt.de","RUMEX ACETOSA",0.0126262626262626,"SD"
"132","bayrdrt.de","GEUM URBANUM",0.0126262626262626,"SD"
"133","bayrdrt.de","RANUNCULUS ACRIS",0.0109427609427609,"SD"
"134","bayrdrt.de","VICIA SEPIUM",0.0101010101010101,"SD"
"135","bayrdrt.de","POA PRATENSIS",0.00841750841750842,"SD"
"136","bayrdrt.de","VERONICA CHAMAEDRYS",0.00841750841750842,"SD"
"137","bayrdrt.de","PHLEUM PRATENSE",0.00673400673400673,"SD"
"138","bayrdrt.de","ACHILLEA MILLEFOLIUM",0.00589225589225589,"SD"
"139","bayrdrt.de","TRIFOLIUM DUBIUM",0.00589225589225589,"SD"
"140","bayrdrt.de","PILOSELLA AURANTIACA",0.00505050505050505,"SD"
"141","bayrdrt.de","DACTYLIS GLOMERATA",0.00420875420875421,"SD"
"142","bayrdrt.de","KNAUTIA ARVENSIS",0.00336700336700337,"SD"
"143","bayrdrt.de","TRISETUM FLAVESCENS",0.00252525252525253,"SD"
"144","bayrdrt.de","LOTUS CORNICULATUS",0.00168350168350168,"SD"
"145","bayrdrt.de","TRIFOLIUM REPENS",0.00168350168350168,"SD"
"146","bayrdrt.de","VERONICA SERPYLLIFOLIA",0.00168350168350168,"SD"
"147","bayrdrt.de","LUZULA CAMPESTRIS",0.000841750841750842,"SD"
"148","bayrdrt.de","BELLIS PERENNIS",0.000841750841750842,"SD"
"149","bayrdrt.de","FESTUCA PRATENSIS",0.000841750841750842,"SD"
"150","bayrdrt.de","VICIA CRACCA",0.000841750841750842,"SD"
"151","bayrdrt.de","LOLIUM PERENNE",0.000841750841750842,"SD"
"152","bayrdrt.de","POA TRIVIALIS",0.000841750841750842,"SD"
"153","bayrdrt.de","HYPOCHAERIS RADICATA",0.000841750841750842,"SD"
"154","bayrdrt.de","PILOSELLA PILOSELLOIDES",0.000841750841750842,"SD"
"155","biddulph.ca","CAREX SP.",0.432569974554707,"D"
"156","biddulph.ca","SELAGINELLA DENSA",0.246819338422392,"CD"
"157","biddulph.ca","STIPA COMATA",0.119592875318066,"SD"
"158","biddulph.ca","PSORALEA LANCEOLATA",0.0534351145038168,"SD"
"159","biddulph.ca","FESTUCA ALTAICA",0.0432569974554707,"SD"
"160","biddulph.ca","SOLIDAGO MISSOURIENSIS",0.0254452926208651,"SD"
"161","biddulph.ca","ARTEMISIA FRIGIDA",0.0203562340966921,"SD"
"162","biddulph.ca","ROSA ARKANSANA",0.0203562340966921,"SD"
"163","biddulph.ca","HETEROTHECA VILLOSA",0.0152671755725191,"SD"
"164","biddulph.ca","ARTEMISIA LUDOVICIANA",0.00763358778625954,"SD"
"165","biddulph.ca","LYGODESMIA JUNCEA",0.00508905852417303,"SD"
"166","biddulph.ca","PHLOX HOODII",0.00508905852417303,"SD"
"167","biddulph.ca","CIRSIUM ARVENSE",0.00254452926208651,"SD"
"168","biddulph.ca","UNKNOWN FORB(BIDDULPH.CA)",0.00254452926208651,"SD"
"169","brokenh.au","ARISTIDA SP.",0.229268292682927,"D"
"170","brokenh.au","MAIREANA PYRAMIDATA",0.146341463414634,"CD"
"171","brokenh.au","LEMOORIA BURKITTII",0.136585365853659,"CD"
"172","brokenh.au","ACTINOBOLE ULIGINOSUM",0.107317073170732,"SD"
