"site_code","block","plot","subplot","year","mass","mass_category","note_biomass"
"allmendb.ch",1,1,"A",2015,273.6958982,"anpp","anpp includes WOODY"
"allmendb.ch",1,1,"A",2016,448.278859126652,"anpp","anpp includes WOODY"
"allmendb.ch",1,1,"A",2017,198.339579522406,"anpp","anpp includes WOODY"
"allmendb.ch",1,1,"A",2018,258.4,"anpp","anpp includes WOODY"
"allmendb.ch",1,1,"A",2019,217.2,"anpp","anpp includes WOODY"
"allmendb.ch",1,2,"A",2015,369.7107366,"anpp","anpp includes WOODY"
"allmendb.ch",1,2,"A",2016,471.024788278257,"anpp","anpp includes WOODY"
"allmendb.ch",1,2,"A",2017,346.320736347648,"anpp","anpp includes WOODY"
"allmendb.ch",1,2,"A",2018,352.1,"anpp","anpp includes WOODY"
"allmendb.ch",1,2,"A",2019,381.7,"anpp","anpp includes WOODY"
"allmendb.ch",1,3,"A",2015,337.0612755,"anpp","anpp includes WOODY"
"allmendb.ch",1,3,"A",2016,468.884352381771,"anpp","anpp includes WOODY"
"allmendb.ch",1,3,"A",2017,343.202755701364,"anpp","anpp includes WOODY"
"allmendb.ch",1,3,"A",2018,344.7,"anpp","anpp includes WOODY"
"allmendb.ch",1,3,"A",2019,361.9,"anpp","anpp includes WOODY"
"allmendb.ch",1,4,"A",2015,395.9769041,"anpp","anpp includes WOODY"
"allmendb.ch",1,4,"A",2016,393.993215319703,"anpp","anpp includes WOODY"
"allmendb.ch",1,4,"A",2017,340.126232354905,"anpp","anpp includes WOODY"
"allmendb.ch",1,4,"A",2018,212.8,"anpp","anpp includes WOODY"
"allmendb.ch",1,4,"A",2019,304.3,"anpp","anpp includes WOODY"
"allmendb.ch",1,5,"A",2015,360.6592686,"anpp","anpp includes WOODY"
"allmendb.ch",1,5,"A",2016,387.767652287376,"anpp","anpp includes WOODY"
"allmendb.ch",1,5,"A",2017,264.928171795329,"anpp","anpp includes WOODY"
"allmendb.ch",1,5,"A",2018,305.1,"anpp","anpp includes WOODY"
"allmendb.ch",1,5,"A",2019,297.6,"anpp","anpp includes WOODY"
"allmendb.ch",1,6,"A",2015,177.3212569,"anpp","anpp includes WOODY"
"allmendb.ch",1,6,"A",2016,321.892453808531,"anpp","anpp includes WOODY"
"allmendb.ch",1,6,"A",2017,194.170119037518,"anpp","anpp includes WOODY"
"allmendb.ch",1,6,"A",2018,346,"anpp","anpp includes WOODY"
"allmendb.ch",1,6,"A",2019,180.1,"anpp","anpp includes WOODY"
"allmendo.ch",1,1,"A",2015,205.6357713,"anpp","anpp includes WOODY"
"allmendo.ch",1,1,"A",2016,154.792078266139,"anpp","anpp includes WOODY"
"allmendo.ch",1,1,"A",2017,81.6036825980353,"anpp","anpp includes WOODY"
