site_code,year,biomass_date,first_treatment_date,X365day.trt,drought_trt,fake_bioDat,trt,block,plot,subplot,ppt_num_NA_ghcn,ppt_num_NA_sub,ppt_num_wc_interp_sub,ppt_num_NA_chirps,ppt_ghcn,ppt_sub,ppt_chirps,num_drought_days,ppt,ppt_source,SiteSurvey,Years.DrtTrt,ANPP,ANPP.units,Can.We.Convert.StandingBio.to.ANPP,How.Calc.ANPP.from.StandBio,IfNot365.WhenShelterRemove,IfNot365.WhenShelterSet,annual_ppt_used
allmendb.ch,2011,2011-09-25,2016-03-01,Yes,0.32,TRUE,Control,NA,NA,NA,365,365,NA,0,NA,NA,1058.1640236377716,0,1058.1640236377716,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2011,2011-09-25,2016-03-01,Yes,0.32,TRUE,Drought,NA,NA,NA,365,365,NA,0,NA,NA,1058.1640236377716,0,1058.1640236377716,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2012,2012-09-25,2016-03-01,Yes,0.32,TRUE,Control,NA,NA,NA,365,365,NA,0,NA,NA,1099.2464442253113,0,1099.2464442253113,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2012,2012-09-25,2016-03-01,Yes,0.32,TRUE,Drought,NA,NA,NA,365,365,NA,0,NA,NA,1099.2464442253113,0,1099.2464442253113,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2013,2013-09-25,2016-03-01,Yes,0.32,TRUE,Control,NA,NA,NA,365,365,NA,0,NA,NA,932.0191435813904,0,932.0191435813904,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2013,2013-09-25,2016-03-01,Yes,0.32,TRUE,Drought,NA,NA,NA,365,365,NA,0,NA,NA,932.0191435813904,0,932.0191435813904,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2014,2014-09-25,2016-03-01,Yes,0.32,TRUE,Control,NA,NA,NA,365,365,NA,0,NA,NA,1076.3677270412445,0,1076.3677270412445,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2014,2014-09-25,2016-03-01,Yes,0.32,TRUE,Drought,NA,NA,NA,365,365,NA,0,NA,NA,1076.3677270412445,0,1076.3677270412445,chirps,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
allmendb.ch,2015,2015-09-25,2016-03-01,Yes,0.32,FALSE,Control,1,2,A,365,365,NA,0,NA,NA,1241.3059542179108,0,1241.3059542179108,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2015,2015-09-25,2016-03-01,Yes,0.32,FALSE,Control,1,3,A,365,365,NA,0,NA,NA,1241.3059542179108,0,1241.3059542179108,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2015,2015-09-25,2016-03-01,Yes,0.32,FALSE,Control,1,6,A,365,365,NA,0,NA,NA,1241.3059542179108,0,1241.3059542179108,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2015,2015-09-25,2016-03-01,Yes,0.32,FALSE,Drought,1,1,A,365,365,NA,0,NA,NA,1241.3059542179108,0,1241.3059542179108,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2015,2015-09-25,2016-03-01,Yes,0.32,FALSE,Drought,1,4,A,365,365,NA,0,NA,NA,1241.3059542179108,0,1241.3059542179108,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2015,2015-09-25,2016-03-01,Yes,0.32,FALSE,Drought,1,5,A,365,365,NA,0,NA,NA,1241.3059542179108,0,1241.3059542179108,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2016,2016-09-14,2016-03-01,Yes,0.32,FALSE,Control,1,2,A,108,108,NA,0,677,959.4,1374.7563158869743,0,1374.7563158869743,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2016,2016-09-14,2016-03-01,Yes,0.32,FALSE,Control,1,3,A,108,108,NA,0,677,959.4,1374.7563158869743,0,1374.7563158869743,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2016,2016-09-14,2016-03-01,Yes,0.32,FALSE,Control,1,6,A,108,108,NA,0,677,959.4,1374.7563158869743,0,1374.7563158869743,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
allmendb.ch,2016,2016-09-14,2016-03-01,Yes,0.32,FALSE,Drought,1,1,A,108,108,NA,0,677,959.4,1374.7563158869743,0,1374.7563158869743,chirps,Allmend Brachy,NA,Yes,1 g/m2,,,,,FALSE
